Key,ko,Comment
## Actor-level findings,## Actor-level findings,TODO-ko
## Evidence level and limitations,## 증거 수준과 제한사항,
## Quick fix tips,## Quick fix tips,TODO-ko
## Suspicious movement nodes,## Suspicious movement nodes,TODO-ko
"- Actual movement can bypass collision through Sweep=false, Teleport, custom ignore lists, or MovementComponent UpdatedComponent/root mismatch.","- 실제 이동은 Sweep=false, Teleport, 사용자 무시 목록, MovementComponent UpdatedComponent/root 불일치로 충돌을 우회할 수 있습니다.",
- Best confirmation is a reproduced swept move with Sweep=true and the returned FHitResult.,- 가장 좋은 확인은 Sweep=true로 재현한 스윕 이동과 반환된 FHitResult입니다.,
- Block possible means settings are compatible with blocking; it is not proof that the real gameplay movement path blocks.,"- Block 가능은 설정이 차단과 호환된다는 뜻이며, 실제 게임플레이 이동 경로가 막힌다는 증명은 아닙니다.",
- No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.,- No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.,TODO-ko
"- PhysicsOnly, Chaos contact resolution, complex BodySetup, and custom primitive collision cannot be fully proven by static/query inspection.","- PhysicsOnly, Chaos 접촉 해결, 복잡한 BodySetup, 사용자 정의 Primitive 충돌은 정적/쿼리 검사만으로 완전히 증명할 수 없습니다.",
<No Target>,<대상 없음>,
A and B are the same actor,A and B are the same actor,TODO-ko
"A BLOCK-capable pair already exists and the sweep probe hit it. Usually no collision preset change is needed; if gameplay still passes through, check Sweep=true, Teleport=false, and custom ignore logic.","A BLOCK-capable pair already exists and the sweep probe hit it. Usually no collision preset change is needed; if gameplay still passes through, check Sweep=true, Teleport=false, and custom ignore logic.",TODO-ko
"A BLOCK-capable pair already exists. If gameplay still passes through, move the actor/component with Sweep=true, avoid Teleport, and make sure the movement component uses the blocking primitive as its UpdatedComponent/root collision.","A BLOCK-capable pair already exists. If gameplay still passes through, move the actor/component with Sweep=true, avoid Teleport, and make sure the movement component uses the blocking primitive as its UpdatedComponent/root collision.",TODO-ko
A collision response is Ignore,A collision response is Ignore,TODO-ko
A component,A 컴포넌트,
Actions,동작,
Actions you can try now,바로 해볼 수 있는 조치,
Actor,Actor,TODO-ko
Actor collision is disabled,Actor collision is disabled,TODO-ko
"Actor label, class, or path matched.","Actor label, class, or path matched.",TODO-ko
Actor tag matched.,Actor tag matched.,TODO-ko
Actor-level and movement checks,Actor-level and movement checks,TODO-ko
Actors,Actors,TODO-ko
Actors are in different worlds,Actors are in different worlds,TODO-ko
Actors share an attachment hierarchy,Actors share an attachment hierarchy,TODO-ko
Actual contact detected,실제 충돌 감지,
"Add or enable a PrimitiveComponent with collision, such as CapsuleComponent, BoxComponent, StaticMeshComponent, or BrushComponent.","Add or enable a PrimitiveComponent with collision, such as CapsuleComponent, BoxComponent, StaticMeshComponent, or BrushComponent.",TODO-ko
Add selected Actor Blueprint/class assets to the class favorites window.,선택한 액터 Blueprint/클래스 에셋을 클래스 즐겨찾기 창에 추가합니다.,
Add to Class Favorites,클래스 즐겨찾기에 추가,
All,전체,
All events,모든 이벤트,
Allow dragging reference graph nodes to reduce overlap,겹침을 줄이기 위해 참조 그래프 노드를 드래그할 수 있게 합니다,
Analysis could not start because one or both actors are invalid.,Analysis could not start because one or both actors are invalid.,TODO-ko
Analyze,Analyze,TODO-ko
Analyze Collision Between Selected,Analyze Collision Between Selected,TODO-ko
Analyze why the two selected actors do not Block each other in Editor or PIE.,Analyze why the two selected actors do not Block each other in Editor or PIE.,TODO-ko
Armed,준비됨,
Asset or Blueprint related failure,에셋 또는 블루프린트 관련 실패,
Audio Playback Trace,Audio Playback Trace,TODO-ko
Audio trace reset.,오디오 추적 기록을 초기화했습니다.,
Auto Snapshot,자동 스냅샷,
Automatically detects editor packaging and estimates progress from UAT stages and work counts.,에디터 패키징을 자동 감지하고 UAT 단계와 작업 개수로 전체 진행률을 추정합니다.,
Auxiliary,보조/무관,
B component,B 컴포넌트,
"Best confirmation: reproduce the move with Sweep=true and inspect the returned FHitResult, hit component, and blocking hit flag.","가장 좋은 확인 방법: Sweep=true로 이동을 재현하고 반환된 FHitResult, Hit Component, Blocking Hit 플래그를 확인하세요.",
Bindings found only in the selected or click-resolved target Blueprint and its relevant Level Blueprint.,선택했거나 클릭으로 확인된 대상 Blueprint와 관련 Level Blueprint의 바인딩만 표시합니다.,
Bindings found only in the selected or pointer-resolved target Blueprint and its relevant Level Blueprint.,선택했거나 포인터로 확인한 대상 Blueprint와 관련 Level Blueprint의 바인딩만 표시합니다.,
Block impossible,Block 불가,
Block possible,Block 가능,
Block possible means both components are configured to block. It does not prove that the real gameplay movement will be stopped.,Block 가능은 두 컴포넌트가 차단되도록 설정되었다는 뜻입니다. 실제 게임플레이 이동이 반드시 멈춘다는 증명은 아닙니다.,
BLOCK-capable,BLOCK-capable,TODO-ko
Block-capable,Block 가능 설정,
Block-capable settings,Block 가능 설정,
Blocked,차단됨,
Blueprint Runtime Error Trace,블루프린트 런타임 오류 추적,
Browse To Asset,에셋으로 이동,
Canceled,취소됨,
Capture both actors from the same PIE/Game world. Editor-world and PIE-world actors cannot collide with each other.,Capture both actors from the same PIE/Game world. Editor-world and PIE-world actors cannot collide with each other.,TODO-ko
Capture Selected,Capture Selected,TODO-ko
captured,캡처됨,
CAUSE,CAUSE,TODO-ko
Cause,Cause,TODO-ko
Check,Check,TODO-ko
CHECK,CHECK,TODO-ko
Choose two different actors.,Choose two different actors.,TODO-ko
Class,Class,TODO-ko
Class Favorites,클래스 즐겨찾기,
Classes,클래스,
Clear,지우기,
Clear history,기록 지우기,
Click anywhere in PIE to capture,PIE에서 아무 곳이나 클릭해 캡처,
"Click anywhere in PIE to capture the Slate, UMG, actor hit, and bound-event path.","PIE에서 아무 곳이나 클릭하면 Slate, UMG, 액터 히트, 바운드 이벤트 경로를 캡처합니다.",
Click Event Diagnostics,클릭 이벤트 진단,
Click history,클릭 기록,
Click/Touch Event Diagnostics,클릭/터치 이벤트 진단,
Collapse or expand the reference viewer menu,참조 뷰어 메뉴를 접거나 펼칩니다,
Collision,충돌,
Collision geometry may be missing,Collision geometry may be missing,TODO-ko
Collision is disabled,Collision is disabled,TODO-ko
Collision modes do not share a common path,Collision modes do not share a common path,TODO-ko
Collision Pair Analyzer,Collision Pair Analyzer,TODO-ko
Collision shapes currently overlap,Collision shapes currently overlap,TODO-ko
Compare two actors at runtime and explain why their primitive components do not Block.,Compare two actors at runtime and explain why their primitive components do not Block.,TODO-ko
Component,Component,TODO-ko
Component Details,Component Details,TODO-ko
Component is not registered,Component is not registered,TODO-ko
"Component name, class, or path matched.","Component name, class, or path matched.",TODO-ko
Component tag matched.,Component tag matched.,TODO-ko
Components,Components,TODO-ko
Components are not currently touching,Components are not currently touching,TODO-ko
Confidence,확신도,
"Confidence: Medium. This is a target-scoped diagnosis; unloaded Blueprints, native code, dynamic delegates, and post-click input-mode changes may need Details/PIE confirmation.","확신도: 중간. 이 진단은 선택/클릭 대상 기준이며, 로드되지 않은 Blueprint, 네이티브 코드, 동적 Delegate, 클릭 이후 Input Mode 변경은 Details/PIE 확인이 필요할 수 있습니다.",
"Confidence: Medium. This is a target-scoped pointer diagnosis; unloaded Blueprints, native code, dynamic delegates, and post-event input-mode changes may need Details/PIE confirmation.","확신도: 중간. 이 진단은 선택한 포인터 대상 기준이며, 로드되지 않은 Blueprint, 네이티브 코드, 동적 Delegate, 이벤트 이후 Input Mode 변경은 Details/PIE 확인이 필요할 수 있습니다.",
Confirmed - Normal,확인됨 - 정상,
Consumed by UI,UI가 소비함,
Contact / sweep evidence,접촉 / 스윕 증거,
Copy,복사,
Copy All,전체 복사,
Copy Classes,클래스 복사,
Copy log,로그 복사,
Copy Logs,로그 복사,
Copy Report,리포트 복사,
Copy Results,Copy Results,TODO-ko
Copy Status,상태 복사,
Copy the deduplicated class summary.,중복 제거된 클래스 요약을 복사합니다.,
Copy this class summary.,이 클래스 요약을 복사합니다.,
Copy this error's debug info.,이 오류의 디버그 정보를 복사합니다.,
Current Blueprint,현재 블루프린트,
Current stage progress,현재 단계 진행률,
Current work,현재 작업,
Debug Session,디버그 세션,
Dedup Instances,인스턴스 중복 제거,
Detail Trace,상세 추적,
Details variable name/display/category matched.,Details variable name/display/category matched.,TODO-ko
Details variable value matched.,Details variable value matched.,TODO-ko
"Detect audio playback during PIE and show which actor, component, Blueprint function, or runtime source triggered it.","Detect audio playback during PIE and show which actor, component, Blueprint function, or runtime source triggered it.",TODO-ko
Detects AudioComponent playback during Editor/PIE and records the best matched Blueprint or actor source.,에디터/PIE 중 AudioComponent 재생을 감지하고 가장 잘 맞는 Blueprint 또는 액터 출처를 기록합니다.,
Diagnose the seven stages of click/touch delivery.,클릭/터치 전달의 7단계를 진단합니다.,
Diagnose the seven stages of mouse click delivery.,마우스 클릭 전달의 7단계를 진단합니다.,
Diagnosis: actor/world state prevents collision,진단: 액터/월드 상태가 충돌을 막고 있습니다,
Diagnosis: Block-capable pair exists; movement path unverified,진단: Block 가능 조합이 있지만 이동 경로는 미확인입니다,
Diagnosis: no Block-capable pair found,진단: Block 가능 조합을 찾지 못했습니다,
Diagnosis: swept query blocking was observed,진단: 스윕 쿼리 차단이 관찰되었습니다,
Diagnostic Safety,진단 안전 정보,
"Double-click to open. Place adds at origin, Here adds at the current view, or drag into the level.","더블클릭하면 엽니다. Place는 원점에, Here는 현재 뷰 위치에 추가하며, 드래그로 레벨에 배치할 수도 있습니다.",
"Drop an actor here, or replace it with the current selection.","Drop an actor here, or replace it with the current selection.",TODO-ko
Elapsed,경과시간,
Enhanced Outliner Search,Enhanced Outliner Search,TODO-ko
Enter a query to search currently loaded level instances.,Enter a query to search currently loaded level instances.,TODO-ko
Error,오류,
Estimated,추정,
"Estimated progress - dynamic cook, cache, shader and compression work can change the remaining time.","추정 진행률입니다. Cook, 캐시, 셰이더, 압축 작업량에 따라 남은 시간은 달라질 수 있습니다.",
"Estimated progress - the upper bar is the current stage, the lower bar is total packaging progress.","상단 바는 현재 단계, 하단 바는 패키징 전체 진행률입니다.",
Estimated remaining,예상대기시간,
Events,이벤트,
Evidence,판단 근거,
Explain why two selected actors do not block each other.,Explain why two selected actors do not block each other.,TODO-ko
Export,내보내기,
Export current reference report to Project/Saved/TraceMotiveReports,현재 참조 리포트를 Project/Saved/TraceMotiveReports로 내보냅니다,
Export failed,내보내기 실패,
Export is already running...,이미 내보내는 중입니다...,
Export is available after the current search/trace finishes.,현재 검색/추적이 끝난 후 내보낼 수 있습니다.,
Exported:,내보냄:,
Exporting {0} report...,{0} 리포트 내보내는 중...,
Failed,실패,
Failure analysis,실패 원인 분석,
"Fast search scans the target Blueprint, loaded Blueprints, and assets that reference the target package. Enable Full Scan to exhaustively scan every Blueprint in the selected scope.","빠른 검색은 대상 Blueprint, 로드된 Blueprint, 대상 패키지를 참조하는 에셋을 검색합니다. Full Scan을 켜면 선택 범위의 모든 Blueprint를 정밀 검색합니다.",
Filter favorite classes,즐겨찾기 클래스 필터,
Filters,필터,
Final result: a Block-capable pair exists,최종 결과: 차단(Block) 가능한 조합이 있음,
Final result: actor/world state prevents collision,Final result: actor/world state prevents collision,TODO-ko
Final result: BLOCK confirmed by sweep probe,Final result: BLOCK confirmed by sweep probe,TODO-ko
Final result: BLOCK-capable pair exists,Final result: BLOCK-capable pair exists,TODO-ko
Final result: blocking was confirmed by sweep,최종 결과: Sweep으로 차단(Block)이 확인됨,
Final result: no BLOCK-capable pair found,Final result: no BLOCK-capable pair found,TODO-ko
Final result: no Block-capable pair found,최종 결과: 차단(Block) 가능한 조합 없음,
Find where click/touch delivery stops without changing game input behavior.,게임 입력 동작을 바꾸지 않고 클릭/터치 전달이 멈추는 단계를 찾습니다.,
Find where mouse click delivery stops without changing game input behavior.,게임 입력 동작을 바꾸지 않고 마우스 클릭 전달이 멈추는 단계를 찾습니다.,
Focus,포커스,
Format,형식,
Frame Grid,액자 모드,
Full Scan,전체 검색,
Generate Overlap Events does not control blocking,Generate Overlap Events does not control blocking,TODO-ko
Here,현재 위치,
Hide full diagnostic steps ^,전체 진단 단계 숨기기 ^,
Hide Menu,메뉴 숨기기,
Hide Trace,추적 숨기기,
Hierarchy,계층,
High,높음,
High confidence for swept query blocking; gameplay path still must use Sweep/FHitResult,"스윕 쿼리 Block 가능성은 확실도가 높지만, 실제 게임플레이 경로는 Sweep/FHitResult로 확인해야 합니다",
High confidence: Block is not possible with current inspected settings,확실도 높음: 현재 검사한 설정으로는 Block이 불가능합니다,
Hit-event settings are separate,Hit-event settings are separate,TODO-ko
Idle,대기,
Ignore State,상태 무시,
Ignored,무시됨,
Info,Info,TODO-ko
INFO,INFO,TODO-ko
Input mappings have not been scanned. Select a target or press Rescan Input Mappings.,입력 매핑을 아직 스캔하지 않았습니다. 대상을 선택하거나 입력 매핑 다시 스캔을 누르세요.,
Inspected pairs,Inspected pairs,TODO-ko
Instance dedup on,인스턴스 중복 제거 켜짐,
Instance Reference Trace,인스턴스 참조 추적,
Instances,인스턴스,
Invalid component,Invalid component,TODO-ko
Last click - waiting for PIE capture,마지막 클릭 - PIE 캡처 대기 중,
Latest:,최신:,
Layout,정렬,
Lifecycle,생명주기,
"Likely causes are extracted from the final UAT/cook/build log lines. Use Open target when an asset, Blueprint, class, or source file can be inferred.","마지막 UAT/Cook/Build 로그에서 원인 후보를 추출합니다. 에셋, 블루프린트, 클래스, 소스 파일을 추론할 수 있으면 대상 열기를 사용하세요.",
Limitations,제한사항,
List View,리스트 보기,
Listening while this window is open.,이 창이 열려 있는 동안 추적합니다.,
Low,낮음,
Material,머티리얼,
Medium,중간,
"Medium confidence: current query contact exists, but movement blocking path is unverified",중간 확실도: 현재 쿼리 접촉은 있지만 이동 차단 경로는 미확인입니다,
"Medium confidence: settings allow Block, but actual movement blocking is unverified",중간 확실도: 설정상 Block은 가능하지만 실제 이동 차단은 미확인입니다,
Menu collapsed,메뉴 접힘,
Mode,모드,
Monitor packaging stages and estimated overall progress.,패키징 단계와 전체 추정 진행률을 확인합니다.,
Move Nodes,노드 이동,
"Move only the selected scene component to the current level viewport camera position. If right-clicking an actor clears component selection, the most recently selected component on that actor is used.",선택한 신 컴포넌트만 현재 레벨 뷰포트 카메라 위치로 이동합니다. 액터 우클릭으로 컴포넌트 선택이 해제되면 해당 액터에서 최근 선택했던 컴포넌트를 사용합니다.,
Move Selected Component To Current View,선택 컴포넌트만 현재 뷰 위치로,
Move the active viewport camera to the runtime owner actor.,활성 뷰포트 카메라를 런타임 Owner 액터로 이동합니다.,
"Move the selected actor as a whole to the current level viewport camera position. If right-clicking changes selection, the most recently selected actor is used when it matches this context.",선택한 액터 전체를 현재 레벨 뷰포트 카메라 위치로 이동합니다. 우클릭으로 선택이 바뀌면 이 컨텍스트와 일치하는 최근 선택 액터를 사용합니다.,
Move Whole Actor To Current View,액터 전체를 현재 뷰 위치로,
MoveComponent ignore list excludes this pair,MoveComponent ignore list excludes this pair,TODO-ko
MoveComponent-style node found. Confirm that this path uses swept movement and does not ignore the blocking component.,MoveComponent-style node found. Confirm that this path uses swept movement and does not ignore the blocking component.,TODO-ko
Movement API cannot be inferred from static state,Movement API cannot be inferred from static state,TODO-ko
Next checks,다음 확인,
"No audio playback captured yet. Keep this window open, then start PIE.",아직 캡처된 오디오 재생이 없습니다. 이 창을 열어 둔 상태로 PIE를 시작하세요.,
No Blueprint runtime errors captured yet. Start PIE with this window open.,아직 캡처된 블루프린트 런타임 오류가 없습니다. 이 창을 연 상태로 PIE를 시작하세요.,
No changes match the current filters.,현재 필터와 일치하는 변경이 없습니다.,
No changes match the current filters. Try Watch: All events and enable the category chips.,현재 필터와 일치하는 변경이 없습니다. Watch: All events로 변경하고 카테고리 칩을 켜보세요.,
No click history yet.,아직 클릭 기록이 없습니다.,
No component changes captured yet.,아직 캡처된 컴포넌트 변경이 없습니다.,
No component pair resolves to Block. Review the component pair responses below.,No component pair resolves to Block. Review the component pair responses below.,TODO-ko
No current overlap contact,No current overlap contact,TODO-ko
