Key,ko,Comment
"## Actor-level findings","## 액터 수준 분석 결과",""
"## Quick fix tips","## 빠른 수정 팁",""
"## Suspicious movement nodes","## 의심스러운 이동 노드",""
"- No obvious Sweep=false or Teleport movement node was found in the selected actors' Blueprint class chain.","- 선택한 액터의 Blueprint 클래스 계층에서 Sweep=false 또는 Teleport 이동 노드를 찾지 못했습니다.",""
"A and B are the same actor","A와 B가 같은 액터입니다",""
"A BLOCK-capable pair already exists and the sweep probe hit it. Usually no collision preset change is needed; if gameplay still passes through, check Sweep=true, Teleport=false, and custom ignore logic.","이미 차단 가능한 쌍이 있고 스윕 검사도 적중했습니다. 일반적으로 충돌 프리셋 변경은 필요하지 않습니다. 계속 통과한다면 Sweep=true, Teleport=false 및 사용자 무시 로직을 확인하세요.",""
"A BLOCK-capable pair already exists. If gameplay still passes through, move the actor/component with Sweep=true, avoid Teleport, and make sure the movement component uses the blocking primitive as its UpdatedComponent/root collision.","이미 차단 가능한 쌍이 있습니다. 계속 통과한다면 Sweep=true로 이동하고 Teleport를 피하며 MovementComponent가 차단 프리미티브를 UpdatedComponent 또는 루트 충돌로 사용하는지 확인하세요.",""
"A collision response is Ignore","한쪽 충돌 반응이 무시입니다",""
"Actor","액터",""
"Actor collision is disabled","액터 충돌이 비활성화되어 있습니다",""
"Actor label, class, or path matched.","액터 레이블, 클래스 또는 경로가 일치합니다.",""
"Actor tag matched.","액터 태그가 일치합니다.",""
"Actor-level and movement checks","액터 수준 및 이동 검사",""
"Actors","액터",""
"Actors are in different worlds","액터가 서로 다른 월드에 있습니다",""
"Actors share an attachment hierarchy","액터가 동일한 부착 계층에 있습니다",""
"Add or enable a PrimitiveComponent with collision, such as CapsuleComponent, BoxComponent, StaticMeshComponent, or BrushComponent.","CapsuleComponent, BoxComponent, StaticMeshComponent, BrushComponent 등 충돌이 있는 PrimitiveComponent를 추가하거나 활성화하세요.",""
"Analysis could not start because one or both actors are invalid.","하나 이상의 액터가 유효하지 않아 분석을 시작할 수 없습니다.",""
"Analyze","분석",""
"Analyze Collision Between Selected","선택 항목 간 충돌 분석",""
"Analyze why the two selected actors do not Block each other in Editor or PIE.","선택한 두 액터가 에디터 또는 PIE에서 서로 차단하지 않는 원인을 분석합니다.",""
"Audio Playback Trace","오디오 재생 추적",""
"BLOCK-capable","차단 가능",""
"Capture both actors from the same PIE/Game world. Editor-world and PIE-world actors cannot collide with each other.","동일한 PIE/게임 월드에서 두 액터를 캡처하세요. 에디터 월드와 PIE 월드의 액터는 서로 충돌할 수 없습니다.",""
"Capture Selected","선택 항목 캡처",""
"CAUSE","원인",""
"Cause","원인",""
"Check","확인",""
"CHECK","확인",""
"Choose two different actors.","서로 다른 두 액터를 선택하세요.",""
"Class","클래스",""
"Collision geometry may be missing","충돌 지오메트리가 없을 수 있습니다",""
"Collision is disabled","충돌이 비활성화되어 있습니다",""
"Collision modes do not share a common path","충돌 모드에 공통 경로가 없습니다",""
"Collision Pair Analyzer","충돌 쌍 분석기",""
"Collision shapes currently overlap","현재 충돌 형상이 겹칩니다",""
"Compare two actors at runtime and explain why their primitive components do not Block.","런타임의 두 액터를 비교하여 프리미티브 컴포넌트가 서로 차단하지 않는 이유를 설명합니다.",""
"Component","컴포넌트",""
"Component Details","컴포넌트 상세",""
"Component is not registered","컴포넌트가 등록되지 않았습니다",""
"Component name, class, or path matched.","컴포넌트 이름, 클래스 또는 경로가 일치합니다.",""
"Component tag matched.","컴포넌트 태그가 일치합니다.",""
"Components","컴포넌트",""
"Components are not currently touching","현재 컴포넌트가 접촉하지 않습니다",""
"Copy Results","결과 복사",""
"Details variable name/display/category matched.","상세 변수 이름, 표시명 또는 카테고리가 일치합니다.",""
"Details variable value matched.","상세 변수 값이 일치합니다.",""
"Detect audio playback during PIE and show which actor, component, Blueprint function, or runtime source triggered it.","PIE 중 오디오 재생을 감지하고 이를 실행한 액터, 컴포넌트, Blueprint 함수 또는 런타임 소스를 표시합니다.",""
"Drop an actor here, or replace it with the current selection.","여기에 액터를 놓거나 현재 선택 항목으로 교체하세요.",""
"Enhanced Outliner Search","향상된 아웃라이너 검색",""
"Enter a query to search currently loaded level instances.","현재 로드된 레벨 인스턴스를 검색할 내용을 입력하세요.",""
"Explain why two selected actors do not block each other.","선택한 두 액터가 서로 차단하지 않는 이유를 설명합니다.",""
"Final result: actor/world state prevents collision","최종 결과: 액터/월드 상태로 인해 충돌할 수 없음",""
"Final result: BLOCK confirmed by sweep probe","최종 결과: 스윕 검사에서 차단 확인",""
"Final result: BLOCK-capable pair exists","최종 결과: 차단 가능한 쌍 존재",""
"Final result: no BLOCK-capable pair found","최종 결과: 차단 가능한 쌍 없음",""
"Generate Overlap Events does not control blocking","Generate Overlap Events는 차단 여부를 결정하지 않습니다",""
"Hit-event settings are separate","Hit 이벤트 설정은 별도입니다",""
"Info","정보",""
